YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1951-05-01;--:--;    590.645;   -999.000;   0
1951-06-01;--:--;    738.000;   -999.000;   0
1951-07-01;--:--;    308.226;   -999.000;   0
1951-08-01;--:--;    164.032;   -999.000;   0
1951-09-01;--:--;     98.333;   -999.000;   0
1951-10-01;--:--;     88.161;   -999.000;   0
1951-11-01;--:--;    743.333;   -999.000;   0
1951-12-01;--:--;    373.548;   -999.000;   0
1952-01-01;--:--;    700.323;   -999.000;   0
1952-02-01;--:--;    848.621;   -999.000;   0
1952-03-01;--:--;    663.226;   -999.000;   0
1952-04-01;--:--;    638.333;   -999.000;   0
1952-05-01;--:--;    242.581;   -999.000;   0
1952-06-01;--:--;     88.767;   -999.000;   0
1952-07-01;--:--;     35.645;   -999.000;   0
1952-08-01;--:--;     26.194;   -999.000;   0
1952-09-01;--:--;     38.333;   -999.000;   0
1952-10-01;--:--;    210.968;   -999.000;   0
1952-11-01;--:--;    708.667;   -999.000;   0
1952-12-01;--:--;   1183.871;   -999.000;   0
1953-01-01;--:--;    372.226;   -999.000;   0
1953-02-01;--:--;    306.679;   -999.000;   0
1953-03-01;--:--;    218.097;   -999.000;   0
1953-04-01;--:--;    160.800;   -999.000;   0
1953-05-01;--:--;    110.974;   -999.000;   0
1953-06-01;--:--;    125.210;   -999.000;   0
1953-07-01;--:--;    141.319;   -999.000;   0
1953-08-01;--:--;     57.758;   -999.000;   0
1953-09-01;--:--;     39.690;   -999.000;   0
1953-10-01;--:--;    126.471;   -999.000;   0
1953-11-01;--:--;    150.503;   -999.000;   0
1953-12-01;--:--;    141.194;   -999.000;   0
1954-01-01;--:--;    247.258;   -999.000;   0
1954-02-01;--:--;    402.143;   -999.000;   0
1954-03-01;--:--;    577.097;   -999.000;   0
1954-04-01;--:--;    508.667;   -999.000;   0
1954-05-01;--:--;    282.419;   -999.000;   0
1954-06-01;--:--;    157.667;   -999.000;   0
1954-07-01;--:--;     76.871;   -999.000;   0
1954-08-01;--:--;    128.290;   -999.000;   0
1954-09-01;--:--;    208.000;   -999.000;   0
1954-10-01;--:--;    135.194;   -999.000;   0
1954-11-01;--:--;    163.833;   -999.000;   0
1954-12-01;--:--;    480.000;   -999.000;   0
1955-01-01;--:--;   1078.710;   -999.000;   0
