date,Q_grdc_m3s,Q_model_raw_m3s,Q_model_annual_fdc_m3s,Q_model_two_season_fdc_m3s,Q_model_four_season_fdc_m3s,month,two_season,four_season
1999-09-18,1210.0,944.9171142578124,1225.4577055397383,1068.865981917961,968.07848465867,9,jul_dec,herfst
1999-09-19,1188.0,887.5073852539062,1193.138395777859,1042.1561216201765,957.7934413486804,9,jul_dec,herfst
1999-09-20,1166.0,837.0858154296875,1163.3301839197195,1014.2374994932783,948.7603377546106,9,jul_dec,herfst
1999-09-21,1144.0,791.2719116210938,1136.947951521009,990.5784631665888,940.2655594502381,9,jul_dec,herfst
1999-09-22,1136.0,749.7047119140625,1119.7939929521724,976.1101630874207,932.5427213240372,9,jul_dec,herfst
1999-09-23,1146.0,714.5645751953125,1104.2582892493258,964.1753649409419,926.0139777588176,9,jul_dec,herfst
1999-09-24,1186.0,682.1741943359375,1087.1769551697646,954.4768747483471,920.9432231779505,9,jul_dec,herfst
1999-09-25,1248.0,653.3881225585938,1066.4364146284763,945.8576048475707,917.1008098224976,9,jul_dec,herfst
1999-09-26,1297.0,632.13427734375,1050.9932745403244,939.493671979167,914.2638107578138,9,jul_dec,herfst
1999-09-27,1325.0,623.9784545898438,1044.9483382361163,937.0516146494086,913.1751577968711,9,jul_dec,herfst
1999-09-28,1376.0,636.1146240234375,1053.943429647098,940.6854873333511,914.7951141381312,9,jul_dec,herfst
1999-09-29,1465.0,703.7285766601562,1099.373162011349,960.9307959444718,924.0007398401564,9,jul_dec,herfst
1999-09-30,1568.0,912.737060546875,1207.6060983943826,1055.0942569061472,962.3133773871784,9,jul_dec,herfst
1999-10-01,1736.0,1425.071533203125,1434.667107188425,1258.3299791007294,1121.0081999550077,10,jul_dec,herfst
1999-10-02,1866.0,2440.72119140625,1848.2067852449684,1670.1540753380034,1484.876027403505,10,jul_dec,herfst
1999-10-03,1968.0,3842.91162109375,2411.012454675683,2115.8033065864724,1910.1476510293996,10,jul_dec,herfst
1999-10-04,2114.0,5261.88525390625,3022.2542864686907,2542.5583266430326,2234.816473422045,10,jul_dec,herfst
1999-10-05,2108.0,6352.58935546875,3533.9991632069323,2910.6128953398797,2513.8484568172607,10,jul_dec,herfst
1999-10-06,2067.0,7005.53759765625,3829.52903179397,3234.7413038089862,2793.650823297595,10,jul_dec,herfst
1999-10-07,2054.0,7275.55712890625,3985.61067291508,3409.8455382725324,2883.013910670256,10,jul_dec,herfst
1999-10-08,2075.0,7300.77783203125,4001.048436209137,3422.0522979480575,2890.1924071811336,10,jul_dec,herfst
1999-10-09,2124.0,7173.55810546875,3923.1763794598664,3351.528404817011,2850.488831032922,10,jul_dec,herfst
1999-10-10,2126.0,6938.3173828125,3793.664328884658,3192.829747321009,2768.6829278911146,10,jul_dec,herfst
1999-10-11,2042.0,6616.5546875,3635.5183088772724,3035.285888505886,2607.8218792900866,10,jul_dec,herfst
1999-10-12,1956.0,6217.9091796875,3469.3849604812717,2841.060366503371,2473.381404813458,10,jul_dec,herfst
1999-10-13,1867.0,5761.25439453125,3245.9915646390496,2681.896029979288,2344.0004388590896,10,jul_dec,herfst
1999-10-14,1799.0,5272.09130859375,3026.0604922100338,2545.0860174563704,2236.907084633176,10,jul_dec,herfst
1999-10-15,1720.0,4776.6640625,2806.391007800425,2398.3353369716447,2123.8686135813327,10,jul_dec,herfst
1999-10-16,1657.0,4296.130859375,2605.137234085845,2234.0405395723596,2006.8306487023333,10,jul_dec,herfst
1999-10-17,1584.0,3845.203857421875,2412.0585234356013,2116.4003362093504,1910.6601198159167,10,jul_dec,herfst
1999-10-18,1531.0,3431.837890625,2239.1261800334364,1978.1702361922723,1812.5656192159906,10,jul_dec,herfst
1999-10-19,1483.0,3058.965087890625,2089.5599949498082,1870.142016178883,1702.019331932069,10,jul_dec,herfst
1999-10-20,1457.0,2726.424560546875,1955.1987380933929,1752.4493119913404,1568.4632196304542,10,jul_dec,herfst
1999-10-21,1429.0,2432.948974609375,1844.463249121246,1668.5291842404026,1481.2932622343972,10,jul_dec,herfst
1999-10-22,1409.0,2178.1474609375,1740.9719791577893,1565.5954303461722,1394.9403690835527,10,jul_dec,herfst
1999-10-23,1387.0,1953.9964599609373,1666.9739651020686,1470.092309092315,1308.3405010575188,10,jul_dec,herfst
1999-10-24,1372.0,1765.27880859375,1578.3082647895071,1405.5797967333738,1241.7607515536256,10,jul_dec,herfst
1999-10-25,1373.0,1616.7579345703125,1510.3693707225661,1349.051258881175,1191.9127061575161,10,jul_dec,herfst
1999-10-26,1401.0,1515.7113037109375,1467.3864427180272,1302.1691703871386,1156.244706742822,10,jul_dec,herfst
1999-10-27,1449.0,1466.678955078125,1449.8320342714142,1278.5835237530737,1137.2698170376925,10,jul_dec,herfst
1999-10-28,1460.0,1468.525634765625,1450.4792265316655,1279.5449254913221,1137.8060794629455,10,jul_dec,herfst
