season,quantile,model_q,grdc_q
winter,0.7000000000000001,5705.203320312502,3302.2000000000003
winter,0.71,5830.055839843749,3393.579999999999
winter,0.72,5952.923515625,3427.52
winter,0.73,6087.938618164062,3506.09
winter,0.74,6216.5440625,3555.0
winter,0.75,6389.6387939453125,3637.75
winter,0.76,6565.03080078125,3716.0
winter,0.77,6739.415903320314,3776.2300000000005
winter,0.78,6956.0570703125,3825.44
winter,0.79,7081.147915039065,3866.840000000002
winter,0.8,7201.00341796875,3936.4
winter,0.81,7264.821567382813,3999.0
winter,0.8200000000000001,7405.566689453126,4068.540000000002
winter,0.8300000000000001,7564.710205078125,4140.0
winter,0.84,7756.48205078125,4204.0
winter,0.85,7961.139941406249,4279.0
winter,0.86,8158.58205078125,4366.419999999999
winter,0.87,8407.175000000001,4464.55
winter,0.88,8581.2542578125,4516.08
winter,0.89,8779.940361328127,4595.74
winter,0.9,8936.531640625,4751.800000000001
winter,0.91,9208.64056640625,4887.599999999999
winter,0.92,9570.836562500004,5088.2800000000025
winter,0.93,9939.480351562503,5248.76
winter,0.9400000000000001,10265.50609375,5416.02
winter,0.9500000000000001,10801.85786132813,5742.350000000003
winter,0.96,11449.836757812498,6171.559999999998
winter,0.97,12119.799921875,6657.549999999999
winter,0.98,13189.257226562475,7387.759999999998
winter,0.99,14482.924873046875,8500.190000000011
winter,1.0,21719.560546875,11885.0
lente,0.0,259.78387451171875,1074.0
lente,0.01,347.25781890869143,1157.63
lente,0.02,420.7485888671875,1206.04
lente,0.03,523.52970703125,1242.89
lente,0.04,561.2987817382813,1264.56
lente,0.05,599.9265502929687,1287.3
lente,0.06,630.580322265625,1303.0
lente,0.07,647.3924047851563,1313.0
lente,0.08,682.4391455078126,1327.08
lente,0.09,711.9010864257813,1353.34
lente,0.1,732.2128723144532,1364.6
lente,0.11,763.5158135986328,1382.0
lente,0.12,788.7489721679688,1406.0
lente,0.13,818.9764978027343,1418.38
lente,0.14,850.5920227050782,1436.0
lente,0.15,886.9906585693359,1458.45
lente,0.16,939.7573461914062,1477.16
lente,0.17,978.996805419922,1494.0
lente,0.18,1029.9531689453124,1514.34
lente,0.19,1079.0386767578125,1536.94
lente,0.2,1116.6062744140625,1569.0
lente,0.21,1151.7014868164063,1595.46
lente,0.22,1190.52474609375,1632.8600000000001
lente,0.23,1218.8029101562502,1657.49
lente,0.24,1249.364755859375,1682.12
lente,0.25,1287.578857421875,1706.5
lente,0.26,1322.3954174804687,1723.52
lente,0.27,1369.3861303710937,1741.02
lente,0.28,1419.9294287109376,1769.0
lente,0.29,1463.1651257324218,1795.27
lente,0.3,1520.7036865234375,1811.9
lente,0.31,1574.5782482910154,1826.0
lente,0.32,1618.9934423828124,1841.16
lente,0.33,1658.9202502441412,1867.79
lente,0.34,1706.9625219726563,1904.0
lente,0.35000000000000003,1758.9560180664064,1934.0
lente,0.36,1803.1783251953123,1947.0
lente,0.37,1874.4382275390624,1977.62
lente,0.38,1920.0177685546878,1997.94
lente,0.39,1998.5942077636719,2013.5700000000002
lente,0.4,2030.648681640625,2035.2
lente,0.41000000000000003,2080.2158911132815,2062.15
lente,0.42,2168.318403320312,2089.92
lente,0.43,2225.453315429688,2121.0
lente,0.44,2279.900107421875,2146.88
lente,0.45,2324.5108032226562,2172.05
lente,0.46,2406.8202294921875,2194.98
lente,0.47000000000000003,2485.76244140625,2222.0
lente,0.48,2529.70998046875,2252.7200000000003
lente,0.49,2582.4340625,2283.0
lente,0.5,2641.880126953125,2324.0
lente,0.51,2697.7805859375,2353.0
lente,0.52,2737.046181640625,2382.0
lente,0.53,2815.5472729492185,2421.17
lente,0.54,2879.6193066406254,2451.02
lente,0.55,2929.4302490234377,2475.3
lente,0.56,3023.4031054687507,2499.1200000000003
lente,0.5700000000000001,3074.9598168945313,2537.7300000000005
lente,0.58,3166.377021484375,2559.54
lente,0.59,3242.1988427734373,2593.34
lente,0.6,3304.4979003906246,2622.6
lente,0.61,3382.4987866210936,2649.0
lente,0.62,3473.8294335937494,2667.3599999999997
lente,0.63,3571.656943359375,2704.69
lente,0.64,3639.37759765625,2727.6400000000003
lente,0.65,3713.1160766601565,2753.0
lente,0.66,3784.043740234375,2772.9000000000005
lente,0.67,3862.6859375,2796.42
lente,0.68,3922.6266699218754,2839.84
lente,0.6900000000000001,3993.8844775390626,2881.4700000000003
lente,0.7000000000000001,4049.421899414063,2913.2000000000003
lente,0.71,4139.48853515625,2946.84
lente,0.72,4243.89365234375,2983.08
lente,0.73,4364.398686523437,3045.91
lente,0.74,4451.188916015624,3088.62
lente,0.75,4529.7919921875,3141.25
lente,0.76,4664.495253906253,3194.3200000000015
lente,0.77,4797.964350585938,3255.5699999999997
lente,0.78,4925.681259765625,3315.0
lente,0.79,5065.904008789063,3339.77
lente,0.8,5196.941113281251,3399.4
lente,0.81,5367.503662109375,3476.2999999999997
lente,0.8200000000000001,5518.497382812504,3550.9800000000005
lente,0.8300000000000001,5667.373369140628,3624.1600000000008
