PCRGlobWB: Sonoran Desert,PCRGlobWB: Station 1,PCRGlobWB: Station 2,PCRGlobWB: Station 3,PCRGlobWB: Station 4,PCRGlobWB: Station 5,PCRGlobWB: Station 6,PCRGlobWB: Station 7,PCRGlobWB: Station 8,PCRGlobWB: Station 9,PCRGlobWB: Station 10,PCRGlobWB: Station 11,Groundwater Recharge
,3.604807943702326e-06,-4.5555455241430565e-11,-9.325633147649892e-12,4.3575386354799406e-14,-5.957669468870108e-09,-4.230736294630333e-08,5.276401162507532e-16,2.4167733786439882e-14,-2.673353205473461e-11,3.3369886172883445e-14,0.0,2.270234802142243
,3.5984644455311354e-06,-4.5410380317134624e-11,-9.323401425898048e-12,4.400819986205562e-14,-5.955432591520093e-09,-4.227607419693413e-08,5.309179749379497e-16,2.4326027303622766e-14,-2.6723427290487045e-11,7.30707540915615e-14,0.0,2.2662070147361177
,3.4891206723841606e-06,-4.526714419972322e-11,-9.321095978398475e-12,4.3527681459210044e-14,-5.953063375585543e-09,-4.22514112585759e-08,5.343976392248296e-16,2.4133039316920346e-14,-2.6712229650449615e-11,5.2273503315649825e-14,0.0,2.1964257532615985
,3.0314354262372945e-06,-4.512226703390354e-11,-9.318628334253898e-12,4.229516042952852e-14,-5.950233195051169e-09,-4.22201402727751e-08,5.380664565567432e-16,2.3586167741118658e-14,-2.669843339464517e-11,7.207650004181082e-14,0.0,1.9042884196987109
,2.466893647579127e-06,-4.497958602800445e-11,-9.316103444234614e-12,4.195515462823707e-14,-5.947230707903373e-09,-4.219027260887742e-08,5.420841985233663e-16,2.3427006862197786e-14,-2.6683594570031666e-11,7.185101987125173e-14,0.0,1.5439393915554436
,2.0050572402396938e-06,-4.4840846313842775e-11,-9.313609779237897e-12,4.1674996786866814e-14,-5.944171821425925e-09,-4.216133930867727e-08,5.465996252860606e-16,2.330926250626586e-14,-2.6668360228465637e-11,7.165191291853834e-14,0.0,1.2491508408661718
,1.8515104329708265e-06,-4.471913117587434e-11,-9.311540254131057e-12,4.3749726064135075e-14,-5.942112135670641e-09,-4.2141447664789666e-08,5.520652112573374e-16,2.4152554956025085e-14,-2.665804035850705e-11,7.283931758531731e-14,0.0,1.1511497329864366
,1.7665907989794505e-06,-4.460115957116706e-11,-9.309504556131998e-12,4.3895442836117127e-14,-5.940114178315525e-09,-4.2123144083916486e-08,5.587508423100156e-16,2.4226714384623094e-14,-2.6647987635963766e-11,7.289334473482498e-14,0.0,1.096955099128829
,1.8149064544559224e-06,-4.448903398457382e-11,-9.307579013073664e-12,4.42189687643868e-14,-5.938306735231436e-09,-4.210683712813079e-08,5.677884191594229e-16,2.434901238967946e-14,-2.6638859521033176e-11,7.306777931185074e-14,0.0,1.127808600762902
,1.6871416619324009e-06,-4.4380030900237344e-11,-9.305676888782255e-12,4.4238050722622546e-14,-5.936525937499937e-09,-4.209122650422614e-08,5.724051722384325e-16,2.4361372294445793e-14,-2.662983375478767e-11,7.305926832479673e-14,0.0,1.0462622851839558
